Class combination;Number of classes;mean_good_accuracy;clsCoef;density;f1;f2;f3;f4;hubs;l1;l2;l3;lsc;n1;n2;n4;t1;t2;t3;t4;sum_measures
(2, 3, 4, 6);4;0,843;0,7031;0,121;0,657;0,0;0,7;0,0009;0,27280000000000004;0,0211;0,0196;0,0075;0,05260000000000005;0,052700000000000004;0,3841;0,06849999999999999;0,42449999999999993;0,3619;0,9215;0,12370000000000003;4,8925
(2, 3, 5);3;0,821;0,6944000000000001;0,11109999999999998;0,7430000000000001;0,0;0,8474999999999999;0,0008;0,2365;0,029500000000000005;0,027800000000000002;0,009699999999999999;0,035600000000000034;0,07899999999999999;0,45309999999999995;0,10010000000000001;0,21519999999999997;0,07020000000000001;0,885;0,12360000000000002;4,6621
(2, 3, 5, 6);4;0,806;0,6952;0,09319999999999998;0,723;0,0;0,7756000000000001;0,0022;0,1968;0,015000000000000003;0,013500000000000002;0,0064;0,03420000000000003;0,0648;0,3806;0,08919999999999999;0,2508;0,19039999999999999;0,9011000000000001;0,122;4,554
(2, 3, 6);3;0,843;0,7175;0,09309999999999997;0,655;0,0;0,7889999999999999;0,0;0,18400000000000002;0,019200000000000002;0,0177;0,0071;0,03840000000000003;0,07449999999999998;0,4528;0,10969999999999999;0,24499999999999997;-0,05529999999999998;0,8782;0,11549999999999998;4,341399999999999
(2, 4, 5);3;0,8859999999999999;0,7276999999999999;0,08079999999999996;0,46699999999999997;0,0;0,7379999999999999;0,0;0,1685;0,0041;0,0038;0,0012000000000000001;0,05820000000000005;0,0378;0,4609;0,04529999999999999;0,45269999999999994;0,024400000000000022;0,9017;0,10010000000000001;4,2722
(2, 4, 5, 6);4;0,8630000000000001;0,7124999999999999;0,08579999999999996;0,712;0,0;0,7270000000000001;0,0008;0,18890000000000004;0,007800000000000001;0,007300000000000001;0,0016;0,04840000000000004;0,043;0,384;0,056100000000000004;0,41580000000000006;0,3174;0,9269000000000001;0,1072;4,7425
(2, 4, 6);3;0,931;0,7396;0,08119999999999997;0,5649999999999998;0,0;0,696;0,0;0,1655;0,0002;0,0002;0,0;0,05940000000000004;0,041499999999999995;0,4588;0,0489;0,43839999999999996;0,0026000000000000025;0,9051;0,0955;4,2979
(2, 5, 6);3;0,8869999999999999;0,7034;0,07619999999999996;0,631;0,0;0,766;0,0012000000000000001;0,16440000000000002;0,008400000000000001;0,0077;0,0027;0,04110000000000004;0,0558;0,45649999999999996;0,06899999999999999;0,286;0,12360000000000002;0,9058000000000002;0,1092;4,408
(3, 4, 5);3;0,891;0,7173;0,11029999999999998;0,5359999999999999;0,0;0,7426999999999999;0,0;0,23400000000000004;0,010400000000000001;0,0097;0,0032999999999999995;0,051200000000000044;0,03949999999999999;0,4593;0,0491;0,4112;0,10669999999999998;0,9033;0,1085;4,4925
(3, 4, 5, 6);4;0,866;0,6956999999999999;0,09559999999999998;0,683;0,0;0,7318;0,0012000000000000001;0,21319999999999997;0,0098;0,0089;0,0031;0,04310000000000004;0,04329999999999999;0,383;0,060899999999999996;0,3811;0,2786;0,9171000000000001;0,11510000000000001;4,6645
(3, 4, 6);3;0,9200000000000002;0,7163999999999999;0,08349999999999996;0,5280000000000001;0,0;0,696;0,0;0,18580000000000002;0,0;0,0;0,0;0,05310000000000005;0,03799999999999999;0,45779999999999993;0,052000000000000005;0,39510000000000006;-0,048399999999999985;0,8911;0,10389999999999999;4,1523
(3, 5, 6);3;0,8940000000000001;0,7125000000000001;0,08799999999999997;0,644;0,0;0,752;0,013000000000000001;0,17320000000000008;0,0038;0,0034999999999999996;0,001;0,036100000000000035;0,055900000000000005;0,4537;0,0776;0,23720000000000002;-0,0723;0,8805999999999999;0,1111;4,1709000000000005
(4, 5, 6);3;0,8950000000000001;0,7335999999999998;0,1339;0,5649999999999998;0,0;0,8;0,001;0,2505;0,028300000000000002;0,0259;0,0127;0,06439999999999996;0,04089999999999999;0,4704;0,05500000000000001;0,49470000000000003;0,6367;0,9534999999999998;0,1331;5,3995999999999995
