Class combination;Number of classes;mean_good_accuracy;clsCoef;density;f1;f2;f3;f4;hubs;l1;l2;l3;lsc;n1;n2;n4;t1;t2;t3;t4;sum_measures;mean_measures
(1, 2, 3);3;0,925;0,8558670419024735;0,8878644624439279;0,9761140767596644;0,4730913604837769;0,8673015987307491;0,8446476037546654;0,9398831141555576;0,8900153538501356;0,9101093820613512;0,9526898753562896;0,5643287058547599;0,9808614760198486;0,9223317135224544;0,9384783215743224;0,4481667530966004;0,6841834345069336;0,6719886859950153;0,5307782041687908;7,042;0,391
(1, 2, 3, 4);4;0,913125;0,6094268870724473;0,5376216558139245;0,9672424559110137;0,7742725548051506;0,9243455290269306;0,9728930661368821;0,5507512889360707;0,7715276130678933;0,7792778997289047;0,8220253596339552;0,4431574800146384;0,9608183754431626;0,7574109783277747;0,9152113507419264;0,4911333354129332;0,5842548812657573;0,5626058291351355;0,8964437970164933;6,984;0,388
(1, 2, 3, 4, 5);5;0,921875;0,7358848739253708;0,8818373994373316;0,9797962569650679;0,6607334006440071;0,9612269168138226;0,9579741113598269;0,8441191681713847;0,9017155707137563;0,8977222873110956;0,9161252781362543;0,5875676377002809;0,9853597823210347;0,8298898225900332;0,9178924457977621;0,5174137185208438;0,6660572831671899;0,6522338772454281;0,8132242740010155;6,881;0,382
(1, 2, 3, 5);4;0,9424999999999999;0,781519868746041;0,9200967625009112;0,9535293590354259;0,7134970677802066;0,9317532559406573;0,960644960616874;0,7950358132524004;0,931481640706564;0,9425515723440608;0,9614447222252321;0,5521019256667621;0,9928327661150494;0,8023644606591933;0,9476195307891585;0,4511469706233205;0,6258771894135314;0,6096626573223637;0,8235639180311612;6,807;0,378
(1, 2, 4);3;0,94875;0,41082713389691494;0,44055100929465824;0,760250173281389;0,7988902710240278;0,8788909407320592;0,9224782812885265;0,45221971969167507;0,8153397323800468;0,8377113691240686;0,8998324983753325;0,2995345788100442;0,9426336453556565;0,6195841173417406;0,8586393695489472;0,42946261911973865;0,5466880401185645;0,5405455421150012;0,8724669344571052;7,047;0,392
(1, 2, 4, 5);4;0,95875;0,5018777610696239;0,7167014164642805;0,955600075841883;0,7460613636680813;0,8743609151761813;0,8810621192338058;0,6893925262509495;0,9197402602522122;0,9295774625468077;0,9492849181249982;0,4285792285692131;0,9779402309347244;0,8242868123095918;0,9090943569975328;0,5395623275177319;0,678048293708467;0,6568760073597767;0,91609863444233;6,824;0,379
(1, 2, 5);3;0,96;0,46106670372163033;0,49303731921781563;0,8982579982353789;0,7072070032496103;0,8044397675176661;0,8741092143073481;0,27407175847168663;0,92753068021488;0,9380313836498831;0,9361008193894922;0,5263806945325789;0,9576132890036315;0,8036237767436204;0,8877166922870915;0,6047807111666765;0,6592456288335787;0,6463631440959106;0,8512770366632856;6,854;0,381
(1, 3, 4);3;0,930625;0,7057810847532081;0,7708130664666432;0,9311800240352243;0,9043284331273114;0,9325258319406722;0,9276826164323343;0,7153890487892823;0,6787631602890157;0,7135692465005958;0,7574622422809845;0,49451280819219867;0,9315278818528655;0,6683596010049933;0,8317683812810666;0,401113290808969;0,4907250198160976;0,4565346668067032;0,9059201258983751;7,231;0,402
(1, 3, 4, 5);4;0,9343750000000001;0,5716404617779332;0,8787009247692552;0,963849761086113;0,7069328268327588;0,9402179565214269;0,9063687116570724;0,8019825138420701;0,9316178479696233;0,9341345492510461;0,9455179559034338;0,16604244595760964;0,9770774536363733;0,8955665321109415;0,9158232420461804;0,6416797275180764;0,7189814620016302;0,7058346113851295;0,8399257379364037;6,834;0,38
(1, 3, 5);3;0,9568749999999999;0,6308704358491892;0,860075255381255;0,9467692189049647;0,717757751252639;0,9215578992852164;0,8953588813689318;0,8185179257174441;0,950571916519474;0,9564648749088337;0,9565416413039691;0,0803348607825593;0,9764175630670618;0,8474800334154926;0,9125788385085881;0,5629785065552891;0,6270434357084865;0,6251746566065884;0,8512075008216986;6,646;0,369
(1, 4, 5);3;0,98;0,642280864531506;0,7727916397193062;0,6229731431215656;0,7414823481074068;0,8589301635320256;0,8692233755823691;0,7028418641617623;0,9552641402755148;0,9634895101956635;0,9570107925835;0,4702232434713207;0,966900808738499;0,8823362114178186;0,7083184577331733;0,6973247209587687;0,7087155488898201;0,6891024889141713;0,9235739993077695;6,599;0,367
(2, 3, 4);3;0,9325;0,8073199671762694;0,8317456679637599;0,6648429206872064;0,5918394293683837;0,694888912433925;0,7649252821774157;0,8285060216159791;0,9458763005360866;0,9564017675064242;0,960244765314251;0,281065036636008;0,838146591818834;0,9380365783223865;0,9219431622530118;0,9053268897447565;0,8258773106606587;0,8361864463188963;0,7882120168798842;7,374;0,41
(2, 3, 4, 5);4;0,9337500000000001;0,7569256482260776;0,9151158133398223;0,915227531035949;0,607632384887705;0,9732657864562166;0,8419932167685434;0,8993800126187301;0,9565046313228855;0,9609232814704586;0,9677924708309276;0,4584481016171311;0,974749929634762;0,9302602780919881;0,9566451286517449;0,7816192801275202;0,7927673470015016;0,7910512741705306;0,8588559702338594;7,12;0,396
(2, 3, 5);3;0,9675;0,7229432145334375;0,8685281076602553;0,8943082707459272;0,6939437733282425;0,8414510720689059;0,9591854264205703;0,880434742110443;0,9279937721575693;0,945151020092322;0,9524034201415637;0,7297800389262776;0,9254121381886503;0,8330528949212251;0,9559210154492437;0,4824733126870137;0,621409942413838;0,6118032140199634;0,7868987659200886;6,92;0,384
(2, 4, 5);3;0,9737499999999999;0,8501716710711086;0,9367476541440141;0,9675198697133868;0,6771774471204905;0,986699100641796;0,8285199155512663;0,9430841465686212;0,9690326757196909;0,9730152371126815;0,9772674527151047;0,5578991976107711;0,979874354041979;0,927940023429385;0,9603130096619251;0,5110019549812139;0,7233669561858874;0,7323049904729069;0,8361867861159673;7,036;0,391
(3, 4, 5);3;0,9437499999999999;0,7347977743383978;0,883771053464002;0,6720117860737197;0,6923411282356405;0,7904939386929287;0,7669656920514131;0,9296742915897921;0,9190825747034779;0,9204199365322563;0,9234466156343103;0,27776678547154976;0,9590504837667776;0,9173266517307235;0,891679471009897;0,7246467250102865;0,7830473822552825;0,8003368411452895;0,7295300797389098;7,08;0,393
