Class combination;Number of classes;mean_good_accuracy;clsCoef;density;f1;f2;f3;f4;hubs;l1;l2;l3;lsc;n1;n2;n4;t1;t2;t3;t4
(1, 2, 3);3;0,933;0,8558670419024736;0,8878644624439279;0,9761140767596644;0,4730913604837769;0,8673015987307491;0,8446476037546654;0,9398831141555579;0,8900153538501356;0,9101093820613512;0,9526898753562896;0,5643287058547595;0,9808614760198486;0,9223317135224544;0,9384783215743224;0,4481667530966004;0,6841834345069336;0,6719886859950156;0,5307782041687908
(1, 2, 3, 4);4;0,922;0,6094268870724475;0,5376216558139245;0,9672424559110137;0,7742725548051506;0,9243455290269306;0,9728930661368821;0,5507512889360707;0,7715276130678933;0,7792778997289047;0,8220253596339552;0,4431574800146384;0,9608183754431626;0,757410978327775;0,9152113507419264;0,4911333354129332;0,5842548812657573;0,5626058291351351;0,8964437970164933
(1, 2, 3, 4, 5);5;0,93;0,7358848739253707;0,8818373994373316;0,9797962569650679;0,6607334006440071;0,9612269168138226;0,9579741113598269;0,8441191681713847;0,9017155707137563;0,8977222873110956;0,9161252781362543;0,5875676377002808;0,9853597823210347;0,8298898225900335;0,9178924457977621;0,517413718520844;0,66605728316719;0,6522338772454279;0,8132242740010155
(1, 2, 3, 5);4;0,9499999999999998;0,781519868746041;0,920096762500911;0,9535293590354259;0,7134970677802066;0,9317532559406573;0,960644960616874;0,7950358132524001;0,931481640706564;0,9425515723440608;0,9614447222252321;0,5521019256667624;0,9928327661150494;0,8023644606591931;0,9476195307891585;0,4511469706233205;0,6258771894135313;0,6096626573223637;0,8235639180311612
(1, 2, 4);3;0,9530000000000001;0,4108271338969148;0,44055100929465824;0,760250173281389;0,7988902710240278;0,8788909407320592;0,9224782812885265;0,45221971969167474;0,8153397323800468;0,8377113691240686;0,8998324983753325;0,29953457881004425;0,9426336453556565;0,6195841173417406;0,8586393695489472;0,4294626191197387;0,5466880401185645;0,5405455421150009;0,8724669344571052
(1, 2, 4, 5);4;0,9620000000000001;0,5018777610696237;0,7167014164642806;0,955600075841883;0,7460613636680813;0,8743609151761813;0,8810621192338058;0,6893925262509494;0,9197402602522122;0,9295774625468077;0,9492849181249982;0,42857922856921327;0,9779402309347244;0,8242868123095918;0,9090943569975328;0,539562327517732;0,678048293708467;0,6568760073597768;0,91609863444233
(1, 2, 5);3;0,9700000000000001;0,4610667037216306;0,49303731921781563;0,8982579982353789;0,7072070032496103;0,8044397675176661;0,8741092143073481;0,27407175847168663;0,92753068021488;0,9380313836498831;0,9361008193894922;0,5263806945325793;0,9576132890036315;0,8036237767436205;0,8877166922870915;0,6047807111666766;0,6592456288335787;0,6463631440959099;0,8512770366632856
(1, 3, 4);3;0,9439999999999997;0,7057810847532079;0,770813066466643;0,9311800240352243;0,9043284331273114;0,9325258319406722;0,9276826164323343;0,7153890487892828;0,6787631602890157;0,7135692465005958;0,7574622422809845;0,4945128081921986;0,9315278818528655;0,6683596010049933;0,8317683812810666;0,401113290808969;0,4907250198160976;0,45653466680670307;0,9059201258983751
(1, 3, 4, 5);4;0,9409999999999998;0,571640461777933;0,8787009247692553;0,963849761086113;0,7069328268327588;0,9402179565214269;0,9063687116570724;0,80198251384207;0,9316178479696233;0,9341345492510461;0,9455179559034338;0,16604244595760967;0,9770774536363733;0,8955665321109415;0,9158232420461804;0,6416797275180764;0,7189814620016302;0,7058346113851295;0,8399257379364037
(1, 3, 5);3;0,966;0,6308704358491891;0,860075255381255;0,9467692189049647;0,717757751252639;0,9215578992852164;0,8953588813689318;0,8185179257174441;0,950571916519474;0,9564648749088337;0,9565416413039691;0,08033486078255934;0,9764175630670618;0,8474800334154927;0,9125788385085881;0,5629785065552889;0,6270434357084865;0,6251746566065882;0,8512075008216986
